	GSM2345472	GSM2345460	GSM2345464	GSM2345473	GSM2345470	GSM2345461	GSM2345466	GSM2345463	GSM2345469	GSM2345471	GSM2345462	GSM2345465	GSM2345468	GSM2345467	GSM2345459
Tlr6	1	2	2	2	1	0	3	1	4	0	3	2	3	1	4
Tlr7	1	2	4	2	1	1	4	0	6	3	5	11	2	0	3
Tlr8	0	0	0	1	0	3	1	0	2	0	0	4	0	0	1
Tlr9	5	6	3	5	8	0	6	1	4	1	2	4	6	4	5
Tlx1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Tlx2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Tlx3	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0
Tm2d1	669	398	586	309	367	358	551	372	566	236	247	521	553	357	385
Tm2d2	1235	684	894	500	888	674	840	734	932	384	447	774	1150	896	748
Tm2d3	406	264	271	187	354	184	224	251	316	148	202	199	478	383	291
Tm4sf1	4	18	35	5	6	18	19	7	11	3	27	21	40	14	17
Tm4sf19	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tm4sf20	0	5	4	0	1	1	1	1	1	0	26	1	1	0	8
Tm4sf4	7638	3494	6041	3252	3747	3435	5556	4697	6242	3012	1880	6296	5487	3882	4671
Tm4sf5	0	1	0	1	0	0	0	40	0	0	4	0	1	0	1
Tm6sf1	4	14	8	4	0	4	5	12	14	1	2	8	10	2	13
Tm6sf2	1	7	3	5	2	4	4	11	3	2	3	1	4	2	6
Tm7sf2	249	140	234	121	140	93	189	144	134	97	108	172	148	150	144
Tm7sf3	963	781	892	531	505	794	985	843	1030	430	543	1162	875	474	781
Tm9sf1	1606	1161	1592	663	850	999	1634	884	1348	544	595	1588	1596	934	1084
Tm9sf2	3116	3428	3771	2002	1306	2894	4307	2979	3834	1560	2467	4499	2809	1368	3403
Tm9sf3	3951	6056	5381	3100	1488	4725	7592	4700	5722	2512	3200	7924	3166	1776	5887
Tm9sf4	1708	1130	1373	808	967	922	1556	912	1570	623	974	1482	1587	984	1217
Tma16	77	128	108	60	43	101	119	189	145	45	128	148	70	43	118
Tma7	867	926	696	416	492	672	692	675	861	368	488	752	813	581	1066
Tma7-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmbim1	761	744	777	291	518	532	742	746	624	240	684	788	880	595	625
Tmbim4	1180	657	946	466	736	666	837	687	888	355	493	845	951	745	684
Tmbim6	7309	4021	5686	2832	4712	3365	6008	4461	5736	2333	3199	5573	7094	4987	4441
Tmbim7	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0
Tmc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmc2	0	3	0	0	0	0	0	2	2	0	1	1	0	0	1
Tmc3	28	92	12	17	11	23	22	31	28	16	25	21	22	11	66
