	GSM2517014	GSM2517015	GSM2517016	GSM2517017	GSM2517018	GSM2517019	GSM2517020	GSM2517021	GSM2517022	GSM2517023	GSM2517024	GSM2517025
Fth-ps2	9	14	23	5	2	4	2	0	3	1	0	2
Fth-ps3	0	1	0	1	4	2	0	1	2	0	1	1
Fth1	3659	5275	3276	2253	23920	4630	9450	6769	6363	3571	3840	4484
Fth1-ps	0	0	4	0	4	0	2	1	2	0	0	1
Fthl17-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17-ps2	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17-ps3	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17a	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17b	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17c	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17d	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17e	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17f	0	0	0	0	0	0	0	0	0	0	0	0
Ftl1	7778	9693	5783	4317	37526	6823	12482	9807	6717	6582	4986	7386
Ftl1-ps1	38	178	26	14	267	45	61	129	30	46	48	115
Ftl1-ps2	1	0	1	0	4	0	2	0	1	0	0	1
Ftl2-ps	0	0	1	0	5	1	1	3	1	1	1	0
Ftmt	0	0	0	0	0	0	0	0	0	0	0	0
Fto	631	542	408	233	799	327	476	751	518	517	460	652
Ftsj1	103	43	22	23	242	144	150	174	115	140	108	111
Ftsj3	322	256	203	136	540	383	376	470	377	434	299	329
Ftx	323	167	223	100	95	669	332	364	286	432	319	302
Fubp1	1095	908	990	468	981	1309	1003	1257	1082	1243	831	917
Fubp3	454	463	447	224	396	548	439	626	394	629	384	452
Fuca1	435	349	259	179	1346	514	592	767	506	517	477	550
Fuca2	349	308	238	149	557	346	365	481	269	387	235	349
Fundc1	338	247	198	128	822	551	519	391	346	422	323	373
Fundc2	293	226	169	129	715	407	382	289	276	369	235	302
