	GSM4191298	GSM4191299	GSM4191296	GSM4191292	GSM4191295	GSM4191294	GSM4191293	GSM4191290	GSM4191301	GSM4191291
Tpi1	11.4296875	11.453125	11.3515625	11.078125	11.3828125	11.296875	11.09375	11.3828125	11.5703125	11.5234375
Npdc1	9.0546875	8.78125	9.1328125	8.7421875	8.921875	8.9609375	8.671875	8.6640625	9.203125	8.75
Cstf2t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tnfrsf19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marcksl1	7.9375	7.0078125	7.6484375	8.7421875	8.4921875	8.734375	8.3125	8.84375	7.0546875	8.6484375
Ndn	9.984375	8.1953125	9.1953125	8.8046875	9.09375	9.203125	9.125	9	9.0859375	8.9140625
Tnp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nup62	7.78125	7.5625	7.50390625	8.1484375	7.859375	8.046875	7.88671875	8.0390625	7.5546875	7.83203125
Nup62	8.0625	8.109375	8.09375	8.6484375	8.2890625	8.5	8.46875	8.515625	8.1875	8.453125
Actc1	6.48828125	7.3046875	7.0859375	6.89453125	7.125	7.65625	8.09375	8.34375	6.5234375	7.0546875
Map1lc3b	11.0078125	10.7890625	11.328125	10.71875	11.0390625	10.8359375	10.6484375	10.8125	11.25	10.875
Map1lc3b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Map1lc3b	11.6015625	11.40625	11.984375	11.4375	11.640625	11.3984375	11.3984375	11.40625	11.8828125	11.625
Igf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atp9a	8.734375	8.59375	8.921875	8.6875	8.9140625	9.0703125	8.640625	8.6484375	9.1640625	8.796875
Cox5a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cops8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Smoc2	9.1484375	8.6171875	8.59375	9.2890625	8.828125	9.296875	8.7734375	8.609375	8.3125	8.78125
Bcar3	8.640625	8.5625	9.1171875	8.6328125	8.7890625	8.890625	8.6953125	8.796875	8.8984375	8.7734375
Pdcd6ip	7.76953125	7.296875	7.79296875	7.67578125	8	7.82421875	7.484375	7.61328125	8.0390625	7.6015625
Spink1	6.875	10.1171875	6.80859375	5.8984375	4.47265625	4.26171875	4.65234375	4.796875	4.6640625	7.54296875
