gene_symbol	GSM1164972	GSM1164975	GSM1164974	GSM1164976	GSM1164973	GSM1164977
1700067P10Rik	20.84375	20.890625	20.546875	20.921875	21.046875	20.53125
1700069B07Rik	25.078125	26.0625	25.234375	26.3125	26.328125	24.53125
1700069L16Rik	21.75	21.828125	21.765625	23.15625	21.28125	23.328125
1700071K01Rik	56.65625	56.8125	58.625	40.40625	56.90625	41.78125
1700072H12Rik	22.5625	23.90625	25.546875	23.03125	24.125	22.6875
1700073E17Rik	25.15625	24.9375	24.84375	24.71875	25.140625	24.34375
1700074P13Rik	20.359375	20.125	19.984375	20.40625	20.453125	20.1875
1700080E11Rik	21.140625	22.8125	23.46875	23.5	25.265625	24.109375
1700080G18Rik	32.5	34.28125	33.46875	33.3125	32.90625	32.25
1700080O16Rik	20.421875	20.875	20.921875	20.421875	20.734375	20.71875
1700084C06Rik	30.515625	32.90625	31.59375	31.0	31.265625	29.359375
1700084E18Rik	50.53125	45.1875	51.1875	47.53125	48.53125	48.3125
1700084J12Rik	29.953125	29.609375	30.125	31.03125	30.765625	28.515625
1700084K02Rik	20.96875	20.453125	20.96875	20.96875	21.53125	20.8125
1700084P21Rik	23.109375	25.765625	23.046875	25.359375	23.703125	23.90625
1700086D15Rik	21.671875	22.21875	21.4375	21.296875	21.953125	21.515625
1700086L19Rik	22.09375	21.609375	21.171875	21.140625	21.703125	21.484375
1700086O06Rik	41.34375	42.8125	45.96875	45.125	52.5625	43.5
1700088E04Rik	30.21875	36.125	35.5625	33.1875	32.65625	31.625
1700093J21Rik	25.09375	25.765625	27.859375	24.828125	25.328125	24.640625
1700093K21Rik	20.75	20.453125	21.140625	20.75	20.171875	20.8125
1700101G07Rik	23.890625	22.953125	23.1875	23.734375	24.53125	22.578125
1700101I19Rik	22.828125	22.96875	23.046875	22.796875	22.453125	23.34375
1700102P08Rik	21.0	22.984375	20.84375	21.359375	21.53125	21.28125
1700104B16Rik	22.203125	21.671875	21.78125	22.046875	21.765625	21.75
1700109H08Rik	22.90625	22.109375	23.078125	23.8125	22.28125	22.0625
1700111E14Rik	20.359375	20.734375	20.421875	20.515625	20.359375	20.203125
1700112E06Rik	36.125	35.46875	30.078125	31.359375	31.5625	29.0625
1700113H08Rik	20.234375	19.859375	20.328125	20.59375	20.125	20.625
1700116B05Rik	25.1875	25.828125	26.921875	28.046875	26.875	25.421875
1700120B22Rik	23.546875	23.65625	24.046875	22.0625	23.296875	23.390625
1700120K04Rik	22.234375	22.421875	23.015625	22.71875	22.0625	22.265625
1700122O11Rik	21.21875	21.046875	21.0625	20.953125	21.015625	20.921875
1700123K08Rik	22.765625	22.140625	22.4375	24.015625	21.921875	22.78125
1700123L14Rik	21.703125	21.625	21.90625	22.375	22.78125	21.796875
1700123O20Rik	85.6875	82.8125	88.75	77.9375	85.375	85.25
1700125H20Rik	22.15625	21.1875	21.515625	22.015625	21.53125	22.078125
1700128E19Rik	20.765625	20.296875	20.53125	20.734375	20.1875	20.546875
1700128F08Rik	22.03125	21.203125	21.84375	21.90625	22.046875	21.453125
1700129C05Rik	20.546875	20.640625	20.625	20.21875	20.625	19.890625
1810010D01Rik	28.796875	29.140625	27.8125	31.53125	29.265625	27.28125
1810010H24Rik	23.71875	22.375	25.359375	24.53125	23.65625	23.953125
1810010K12Rik	53.0	56.0	54.53125	50.875	56.0625	49.0625
1810011H11Rik	23.875	24.140625	22.6875	24.796875	23.359375	24.3125
1810011O10Rik	87.6875	94.875	131.75	81.6875	109.1875	102.1875
1810013D15Rik	33.9375	34.9375	34.625	33.875	32.5625	31.1875
1810013L24Rik	152.25	162.625	159.0	152.125	145.25	160.25
1810022K09Rik	31.984375	31.609375	35.375	35.5	34.65625	33.28125
1810024B03Rik	22.203125	23.703125	22.90625	22.390625	22.25	21.640625
1810026J23Rik	66.0	70.9375	67.75	75.375	74.5625	72.1875
1810030O07Rik	69.25	68.125	76.3125	65.3125	74.25	58.375
1810032O08Rik	45.78125	54.4375	43.65625	39.6875	47.3125	43.5
1810034E14Rik	21.671875	21.234375	21.5625	21.515625	20.828125	22.203125
1810037I17Rik	28.53125	31.921875	27.375	33.125	31.140625	34.15625
1810041L15Rik	23.359375	23.265625	25.21875	23.171875	23.953125	23.59375
1810043G02Rik	106.75	82.375	128.25	88.3125	102.0625	66.75
1810046K07Rik	24.265625	26.234375	25.015625	26.453125	25.5625	25.34375
1810055G02Rik	42.90625	42.25	42.34375	45.46875	47.625	40.40625
1810058I24Rik	101.4375	121.125	98.25	120.875	106.1875	106.75
1810058N15Rik	23.875	24.28125	24.453125	26.65625	25.046875	23.078125
1810062G17Rik	21.625	21.078125	21.03125	20.515625	21.15625	21.796875
1810062O18Rik	24.90625	22.515625	23.859375	24.140625	26.53125	22.703125
1810064F22Rik	22.953125	22.703125	22.765625	22.578125	22.5625	21.6875
1810065E05Rik	23.734375	21.046875	22.4375	21.328125	21.5625	21.203125
2010001K21Rik	22.984375	22.640625	22.359375	21.625	21.46875	22.703125
2010003K11Rik	22.984375	23.0	23.453125	23.875	22.171875	23.140625
2010005H15Rik	19.9375	20.1875	19.875	19.46875	19.515625	20.234375
2010016I18Rik	25.015625	24.21875	24.609375	25.25	24.421875	25.796875
2010106E10Rik	20.0	20.109375	20.15625	20.71875	20.3125	20.125
2010107E04Rik	554.5	456.0	508.0	536.0	610.0	388.25
2010107G12Rik	21.625	22.25	21.375	21.859375	21.421875	21.03125
2010107G23Rik	63.6875	64.0625	70.75	68.625	65.25	64.375
2010109A12Rik	21.515625	21.40625	22.8125	21.171875	21.796875	20.96875
2010109I03Rik	23.015625	22.0625	23.015625	22.15625	23.296875	21.328125
2010111I01Rik	31.515625	33.9375	36.40625	30.921875	34.6875	30.609375
2010204K13Rik	26.609375	31.375	25.5	28.15625	27.65625	26.8125
2010300C02Rik	83.375	92.375	100.6875	83.625	93.75	80.625
2010309G21Rik	77.75	22.15625	24.609375	25.328125	24.90625	31.984375
2200002D01Rik	57.84375	53.53125	54.65625	54.59375	57.625	52.65625
2200002J24Rik	21.609375	21.96875	22.40625	21.90625	22.5625	22.1875
2210010C04Rik	20.546875	21.015625	21.21875	21.0	20.59375	20.796875
2210011C24Rik	67.25	63.71875	68.4375	70.1875	68.9375	62.1875
2210016F16Rik	129.25	113.6875	117.875	119.75	126.0625	103.25
2210016L21Rik	76.0	69.0	68.3125	77.9375	70.0	73.3125
2210406O10Rik	21.71875	22.421875	21.609375	21.78125	22.875	21.5
2210407C18Rik	21.484375	20.890625	24.21875	21.34375	21.8125	20.609375
2210408I21Rik	26.546875	26.5625	26.4375	26.4375	26.59375	25.71875
2210409E12Rik	22.234375	22.65625	21.90625	22.046875	21.859375	22.4375
2300002M23Rik	24.734375	24.953125	24.28125	24.265625	24.40625	25.890625
2300003K06Rik	42.9375	49.90625	41.96875	54.4375	48.3125	41.125
2300009A05Rik	54.0	68.8125	57.625	60.09375	61.4375	59.4375
2310001K24Rik	22.3125	22.90625	22.65625	22.828125	25.09375	21.390625
2310002L09Rik	21.078125	21.015625	21.859375	21.65625	21.09375	21.484375
2310003L06Rik	19.953125	20.421875	20.03125	19.90625	19.65625	20.03125
2310007B03Rik	23.171875	23.84375	21.9375	22.703125	21.65625	21.140625
2310007H11Rik	36.59375	45.625	74.8125	31.5625	37.78125	31.171875
2310011J03Rik	68.3125	73.5	70.125	68.5	67.6875	58.625
2310015D24Rik	24.328125	24.6875	24.578125	24.875	23.90625	25.1875
2310016G11Rik	21.296875	20.703125	20.546875	21.90625	21.0625	21.859375
2310022A10Rik	32.375	33.75	32.8125	32.125	29.8125	29.515625
2310022B05Rik	60.71875	68.1875	72.0625	75.9375	71.0625	59.3125
2310030G06Rik	38.15625	30.515625	36.5625	36.03125	38.8125	34.8125
2310033P09Rik	55.9921875	56.546875	62.78125	58.015625	66.5078125	50.484375
2310034C09Rik	20.40625	20.578125	20.578125	20.703125	20.4375	20.15625
2310035C23Rik	142.75	137.375	150.5	127.25	139.25	144.875
2310036O22Rik	166.375	168.625	176.625	185.125	179.625	159.625
2310039H08Rik	69.3125	85.125	80.8125	79.5625	73.875	72.375
2310040G07Rik	21.0	20.921875	22.828125	20.46875	21.21875	20.890625
2310045n01rik-mef2b	37.1875	37.0	35.3125	40.96875	38.6875	38.21875
2310057M21Rik	41.5	50.90625	41.09375	47.875	45.25	49.9375
2310057N15Rik	19.890625	20.25	20.234375	20.046875	20.046875	19.65625
2310061I04Rik	65.5625	68.0625	73.6875	65.5	77.625	64.25
2310061N02Rik	21.65625	22.59375	22.15625	23.03125	22.046875	22.21875
2310065H11Rik	20.453125	20.625	20.1875	20.46875	20.546875	20.578125
2310067E19Rik	70.1875	110.0625	80.875	81.125	83.25	96.375
2310068J16Rik	53.03125	48.8125	51.25	62.15625	51.90625	50.625
2310079G19Rik	22.234375	21.15625	20.734375	21.453125	20.625	20.359375
2310081J21Rik	21.453125	21.973958333333332	21.380208333333332	22.697916666666668	21.588541666666668	21.494791666666668
2410002F23Rik	76.9375	89.6875	85.8125	75.125	85.875	71.78125
2410004B18Rik	53.5625	54.40625	54.8125	66.6875	58.6875	60.03125
2410004P03Rik	23.421875	24.5625	23.9375	25.53125	23.078125	24.078125
2410015M20Rik	72.125	95.1875	72.5625	112.625	79.5	81.75
2410016O06Rik	39.625	41.0625	45.09375	42.96875	37.9375	40.84375
2410017I17Rik	22.34375	21.0	21.8125	21.296875	22.015625	21.90625
2410018L13Rik	23.859375	25.578125	21.84375	24.109375	23.59375	26.6875
2410022M11Rik	44.65625	41.84375	48.875	38.625	45.46875	40.96875
2410024N13Rik	20.53125	19.609375	21.703125	20.03125	19.78125	19.625
2410080I02Rik	31.09375	33.03125	32.9375	33.75	33.03125	32.59375
2410089E03Rik	36.958333333333336	39.708333333333336	38.708333333333336	41.614583333333336	36.869791666666664	42.0625
2410124H12Rik	21.328125	21.3125	21.390625	21.09375	21.28125	21.203125
2410131K14Rik	48.09375	49.65625	49.09375	54.71875	47.65625	42.75
2410137M14Rik	22.03125	22.09375	21.96875	21.890625	21.453125	21.9375
2510002D24Rik	59.71875	72.0	69.0625	78.1875	72.1875	78.25
2510009E07Rik	60.25	54.03125	57.0	55.40625	56.65625	54.15625
2510039O18Rik	130.25	121.0	140.125	133.75	126.875	113.5625
2600006K01Rik	28.609375	27.875	25.96875	28.234375	27.578125	26.5625
2610001J05Rik	70.625	65.875	69.5	66.0	67.5625	72.875
2610002M06Rik	53.25	64.6875	66.125	63.09375	66.5	61.96875
2610005L07Rik	285.25	338.75	273.75	300.0	261.0	290.5
2610008E11Rik	87.0625	93.1875	87.4375	95.6875	78.3125	120.75
2610020H08Rik	28.046875	28.28125	28.703125	26.390625	27.0	29.453125
2610021A01Rik	39.265625	41.046875	39.46875	36.296875	38.84375	41.34375
2610028H24Rik	26.90625	27.1875	25.65625	27.15625	25.953125	26.921875
2610206C17Rik	21.140625	21.40625	22.328125	21.984375	20.8125	21.421875
2610301B20Rik	59.84375	68.9375	58.375	60.9375	63.03125	62.6875
2610301H18Rik	23.875	23.421875	23.234375	28.875	25.03125	25.171875
2610303G11Rik	21.4375	21.96875	22.859375	21.421875	22.6875	22.359375
2610318N02Rik	21.859375	21.8046875	21.71875	21.515625	21.859375	22.0703125
2610507B11Rik	401.25	371.25	445.75	354.75	388.25	333.5
2610524H06Rik	52.90625	60.84375	49.375	61.96875	52.9375	52.625
2610528A11Rik	45.90625	27.734375	45.1875	33.78125	31.984375	34.875
2610528J11Rik	35.3125	42.6875	43.09375	34.375	45.53125	34.5625
2700046A07Rik	22.484375	23.0625	23.4375	22.421875	23.453125	22.703125
2700046G09Rik	28.6875	34.40625	30.5625	29.96875	32.15625	30.03125
2700049A03Rik	55.59375	64.8125	54.34375	49.8125	51.34375	59.59375
2700060E02Rik	241.5625	209.1875	254.9375	234.75	223.1875	237.125
2700062C07Rik	27.78125	28.046875	27.984375	30.59375	27.890625	27.796875
