	GSM3580178	GSM3580179	GSM3580180	GSM3580181	GSM3580182	GSM3580183	GSM3580184	GSM3580185
Rmc1	707	664	623	1012	569	663	533	529
Rmdn1	209	231	154	240	232	214	186	133
Rmdn2	104	110	88	132	58	99	97	85
Rmdn3	361	298	427	629	381	392	332	322
Rmi1	594	432	432	643	521	505	529	457
Rmi2	299	242	205	304	236	273	245	272
Rmnd1	571	635	525	865	600	689	664	591
Rmnd5a	282	294	191	283	387	330	110	140
Rmnd5b	638	650	578	781	597	556	560	546
Rmrp	14	5	5	15	2	6	9	4
Rmst	6	13	9	13	1	8	8	5
Rn18s-rs5	55838	47092	33765	56386	35660	39883	39190	44985
Rn5s	0	0	0	0	0	0	0	0
Rn5s-ps1	0	0	0	0	0	0	0	0
Rn7s1	5319	4467	4894	6436	3134	3515	4348	4218
Rn7s2	5319	4467	4894	6436	3134	3515	4348	4218
Rn7s6	0	0	5	3	0	1	1	0
Rn7sk	202	176	106	246	62	122	114	138
Rnase1	0	0	0	0	0	0	0	0
Rnase10	0	0	6	3	14	5	9	6
Rnase11	0	0	0	0	0	0	0	0
Rnase12	4	10	5	2	10	5	4	8
Rnase13	0	0	0	0	0	0	0	0
Rnase2a	0	0	3	0	0	0	0	0
Rnase2b	0	1	0	0	0	0	0	0
Rnase4	60	66	84	143	56	78	34	18
Rnase6	416	397	399	517	241	307	186	254
Rnase9	0	1	0	0	0	0	0	0
Rnaseh1	392	297	282	413	329	268	356	337
Rnaseh2a	1009	983	782	1244	850	820	1022	962
Rnaseh2b	889	819	729	1098	783	754	869	997
Rnaseh2c	318	264	286	342	302	282	325	307
Rnasek	618	540	548	709	364	400	395	490
Rnasel	292	295	227	477	241	278	137	248
Rnaset2a	580	483	415	686	459	438	458	493
Rnaset2b	2212	2178	1919	3131	1712	1737	1761	2122
Rncr4	0	0	0	0	0	0	0	0
Rnd1	2	17	29	12	0	8	1	12
Rnd2	99	70	59	122	66	65	65	58
Rnd3	27	13	34	26	27	20	16	42
Rnf10	1347	1384	1287	1955	1504	1340	1355	1273
Rnf103	312	355	229	288	315	260	166	143
Rnf11	1039	514	597	722	676	728	548	493
Rnf111	776	753	627	1112	617	610	526	608
Rnf112	0	0	0	0	0	0	0	0
Rnf113a1	45	52	27	35	46	50	40	65
Rnf113a2	290	249	247	370	282	216	246	276
Rnf114	1692	1992	1732	2376	1583	1522	1299	1475
Rnf115	1376	991	930	1195	1183	1084	918	932
Rnf121	150	211	205	343	167	192	215	203
Rnf122	367	321	262	501	321	263	224	317
Rnf123	819	692	708	737	632	598	720	531
Rnf125	397	393	305	411	435	286	305	271
Rnf126	357	275	331	414	271	276	279	283
Rnf128	28	9	21	16	5	4	5	7
Rnf13	1313	960	839	1230	1125	1151	669	770
Rnf130	1869	1976	1637	1706	1945	1817	734	1332
Rnf133	0	0	3	0	0	0	0	0
Rnf135	406	395	232	471	261	317	199	257
Rnf138	1865	920	792	1135	1324	1424	1061	740
Rnf138rt1	0	0	0	0	0	1	0	0
Rnf139	689	535	476	377	892	666	345	353
Rnf14	1227	1316	1092	1460	1064	993	930	827
Rnf141	609	530	460	589	541	477	510	453
Rnf144a	1023	816	890	1040	844	720	647	686
Rnf144b	41	40	72	72	33	28	28	21
Rnf145	1126	933	956	1199	811	1089	1015	979
Rnf146	642	653	562	765	410	489	354	486
Rnf148	2	1	1	2	0	0	0	1
Rnf149	355	314	420	445	383	378	269	272
Rnf150	59	86	49	75	54	81	33	49
Rnf151	0	0	0	0	0	0	1	0
Rnf152	6	11	16	4	2	9	3	5
Rnf157	125	96	93	108	185	164	75	50
Rnf165	0	2	4	1	2	3	2	1
Rnf166	993	825	668	1025	720	711	613	726
Rnf167	1398	1269	1293	1870	1066	1175	753	989
Rnf168	1040	754	774	857	1042	929	829	683
Rnf169	178	195	109	181	196	213	102	98
Rnf17	33	33	37	33	38	66	20	29
Rnf170	456	378	271	366	307	361	306	232
Rnf170-ps	0	0	0	0	3	0	3	0
Rnf180	216	100	111	232	135	141	124	116
Rnf181	1134	1045	882	1257	812	905	902	915
Rnf182	0	0	0	5	0	0	0	0
Rnf183	0	1	0	0	1	0	0	0
Rnf185	353	405	291	509	319	352	284	306
Rnf186	0	0	0	0	0	0	0	0
Rnf187	2567	2386	2068	3093	2321	2188	2677	2290
Rnf19a	361	327	316	254	310	345	250	249
Rnf19b	250	218	208	234	178	149	86	111
Rnf2	1323	937	819	1273	1129	1061	920	750
Rnf20	707	651	527	763	565	528	593	505
Rnf207	6	3	8	6	11	3	5	3
Rnf208	27	17	10	31	24	21	9	19
Rnf212	0	5	5	3	1	0	0	0
Rnf212b	4	7	2	6	4	2	1	3
Rnf213	740	632	501	824	503	451	508	600
Rnf214	330	334	337	394	321	298	299	358
