	GSM2087154	GSM2087158	GSM2087156	GSM2087160	GSM2087159	GSM2087161	GSM2087155	GSM2087157
Gm2889	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10568	NA	NA	NA	NA	NA	NA	NA	NA
Atic	8.328125	8.3125	8.4921875	8.3203125	8.28125	8.3984375	8.40625	8.40625
Apol7d	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Rpl21	2.4609375	2.515625	2.486328125	2.71484375	2.443359375	2.56640625	2.30078125	2.71875
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem169	5.04296875	4.8125	5.08984375	4.8828125	5.05859375	5.0078125	4.9375	4.921875
Xrcc5	6.546875	6.80859375	6.3359375	6.5078125	6.51953125	6.63671875	6.58203125	6.65234375
Smarcal1	6.921875	6.94921875	6.83984375	6.98828125	6.9296875	6.81640625	6.9296875	6.96875
Mir682///Rpl37a	11.015625	10.5625	10.953125	10.390625	10.7109375	10.6484375	10.65625	10.75
Igfbp2	5.96875	5.57421875	5.875	5.703125	5.62890625	5.390625	5.76953125	5.9765625
Rufy4	5.39453125	5.8125	5.80859375	5.32421875	5.73046875	5.56640625	5.85546875	5.75
Cxcr2	3.21484375	3.345703125	3.234375	3.2421875	3.23046875	3.3125	3.09375	3.177734375
NA	NA	NA	NA	NA	NA	NA	NA	NA
Arpc2	10.3125	10.3359375	10.1171875	10.3671875	10.2734375	10.203125	10.2890625	10.25
Gpbar1	5.97265625	6.140625	6.078125	5.9921875	6.078125	5.8671875	6.02734375	5.859375
Pnkd	6.9609375	6.6875	6.8125	6.8671875	6.7734375	6.7109375	6.91015625	6.8984375
Catip	4.453125	4.15625	4.33203125	4.3125	4.2734375	4.3125	4.2109375	4.3125
Slc11a1	7.109375	6.94921875	6.90625	6.97265625	7.234375	7.015625	7.3125	7.08203125
Ctdsp1	9.0546875	8.8203125	9.15625	8.90625	8.7890625	8.75	8.9921875	9.0703125
Mir26b	5.23046875	4.98046875	5.5	5.3046875	5.3359375	5.14453125	5.328125	5.17578125
Vil1	4.56640625	4.59375	4.31640625	4.5625	4.28515625	4.1953125	4.28515625	4.234375
Cnot9	7.7265625	7.5390625	7.59375	7.83203125	7.5859375	7.69140625	7.81640625	7.734375
Plcd4	4.55078125	4.4453125	4.23046875	4.38671875	4.421875	4.359375	4.34765625	4.3125
Bcs1l	6.890625	6.73828125	6.98828125	6.921875	6.734375	6.71484375	6.94140625	6.85546875
Stk36	5.7890625	5.484375	5.703125	5.23046875	5.59375	5.52734375	5.59765625	5.38671875
Ttll4	7.08984375	6.8359375	6.98828125	6.8828125	6.85546875	6.78125	6.9296875	7
Cyp27a1	8.671875	9.109375	8.5234375	8.421875	9.0625	8.765625	8.75	8.5546875
