gene_symbol	GSM3526024	GSM3526021	GSM3526026	GSM3526022	GSM3526025	GSM3526027	GSM3526020	GSM3526023
ACOT6	4.890625	4.578125	4.90234375	5.26953125	4.8203125	5.00390625	4.859375	4.890625
ACOT7	9.62890625	9.0859375	9.359375	9.703125	9.6875	9.5	10.1171875	9.15234375
ACOT8	8.13671875	8.40234375	8.064453125	8.287109375	8.1796875	8.35546875	8.234375	8.34765625
ACOT9	9.9140625	10.046875	10.1015625	10.0390625	9.890625	10.109375	9.9375	10.3671875
ACOX1	7.262890625	7.295703125	7.23125	7.1875	7.479296875	7.35859375	7.1578125	7.198828125
ACOX2	8.6171875	8.4453125	8.4375	8.3984375	8.265625	8.1328125	8.53125	8.5546875
ACOX3	8.40625	8.087890625	8.1484375	8.39453125	8.2109375	8.22265625	8.37890625	8.162109375
ACOXL	4.0419921875	4.09375	4.236328125	4.267578125	4.2119140625	4.259765625	4.2470703125	4.015625
ACP1	8.4970703125	8.580078125	8.8525390625	8.3720703125	8.4208984375	8.5068359375	8.6796875	8.71484375
ACP2	8.953125	8.9609375	8.9375	8.875	8.953125	8.9296875	9.1328125	8.8203125
ACP5	6.46484375	6.96484375	6.75	6.83203125	6.23828125	6.45703125	6.2578125	6.96875
ACP6	5.9189453125	5.90625	6.1484375	5.8544921875	6.1875	6.083984375	6.009765625	5.6787109375
ACPP	4.173177083333333	4.095703125	4.020833333333333	4.195963541666667	4.227213541666667	4.225911458333333	4.190104166666667	4.335286458333333
ACPT	7.00390625	6.984375	6.9921875	7.5234375	7.5078125	7.3984375	7.46875	7.09765625
ACR	5.44921875	5.29296875	5.54296875	5.76171875	5.48046875	5.609375	5.54296875	5.40234375
ACRBP	5.709635416666667	5.619791666666667	5.84375	5.858072916666667	5.893229166666667	5.994791666666667	5.891927083333333	5.817708333333333
ACRC	6.01171875	6.70703125	6.89453125	5.44921875	5.42578125	5.44140625	5.71875	6.796875
ACRV1	5.609375	5.40625	5.317057291666667	5.690755208333333	5.686197916666667	5.559244791666667	5.665364583333333	5.497395833333333
ACSBG1	4.986328125	5.005859375	4.947265625	5.26953125	5.181640625	5.232421875	5.337890625	5.099609375
ACSBG2	5.5859375	5.5078125	5.8125	5.390625	5.48828125	5.7265625	5.32421875	5.3984375
ACSF2	7.79296875	7.90625	8.078125	7.98828125	7.859375	7.671875	7.45703125	8.0625
ACSF3	5.984375	5.895833333333333	5.895833333333333	6.076822916666667	5.955729166666667	5.967447916666667	6.045572916666667	5.846354166666667
ACSL1	8.7421875	9.36328125	9.02734375	8.439453125	8.853515625	8.783203125	8.341796875	9.140625
ACSL3	9.0390625	9.9453125	9.854166666666666	8.497395833333334	8.649739583333334	8.5859375	8.6796875	9.9921875
ACSL4	6.381510416666667	6.592447916666667	6.552083333333333	6.240885416666667	6.455729166666667	6.44140625	6.2109375	6.518229166666667
ACSL5	6.4609375	7.935546875	7.322265625	6.818359375	6.6953125	6.67578125	6.431640625	7.599609375
ACSL6	4.121484375	4.055859375	4.03828125	4.1265625	4.108984375	4.125390625	4.11796875	3.978515625
ACSM1	4.291015625	4.267578125	4.29296875	4.435546875	4.697265625	4.50390625	4.525390625	4.416015625
ACSM2A	2.8251953125	3.01171875	2.87109375	3.08203125	3.1171875	2.9580078125	3.0595703125	2.9306640625
ACSM2B	5.095052083333333	4.8515625	4.852864583333333	5.206380208333333	5.229166666666667	5.027994791666667	5.005208333333333	4.945963541666667
ACSM3	4.373046875	4.115234375	4.28515625	4.44140625	4.537109375	4.46875	4.369140625	4.30859375
ACSM5	5.919270833333333	6.17578125	5.700520833333333	6.029947916666667	5.984375	6.118489583333333	6.0234375	5.868489583333333
ACSS1	5.880859375	5.77578125	5.983984375	5.94140625	5.9890625	5.87578125	5.8984375	5.820703125
ACSS2	8.1640625	8.3515625	8.3125	8.4375	8.1171875	8.125	8.3046875	8.4765625
ACSS3	6.505859375	6.876953125	7.11328125	5.48046875	5.427734375	5.416015625	7.130859375	6.634765625
ACTA1	5.02734375	4.4921875	5.2734375	4.90234375	4.703125	5.14453125	4.8359375	4.69921875
ACTA2	6.606119791666667	6.243489583333333	6.458984375	6.799479166666667	6.436197916666667	6.248697916666667	6.53125	6.294270833333333
ACTA2-AS1	5.5703125	5.5	5.37890625	5.73046875	5.1484375	5.6875	5.66796875	5.3515625
ACTB	14.263020833333334	14.014322916666666	14.1875	14.44140625	14.26171875	14.134114583333334	14.372395833333334	14.069010416666666
ACTBP9	9.5546875	8.9609375	9.5390625	10.25	9.5859375	9.2890625	9.8046875	9.171875
ACTC1	9.703125	9.453125	11.3203125	9.8671875	8.65625	8.1015625	9.4765625	9.078125
ACTG1	14.555555555555555	14.380208333333334	14.371527777777779	14.640625	14.586805555555555	14.52170138888889	14.609375	14.410590277777779
ACTG1P17	4.819010416666667	4.893229166666667	4.860677083333333	5.01953125	4.8828125	4.837239583333333	4.827473958333333	4.771484375
ACTG1P4	4.8359375	5.21875	5.26953125	4.6279296875	4.6796875	4.654296875	4.7021484375	5.55078125
ACTG2	6.35546875	5.94921875	6.099609375	6.66015625	6.189453125	6.25	6.173828125	5.845703125
