gene_symbol	GSM2728750	GSM2728754	GSM2728752	GSM2728758	GSM2728756	GSM2728763	GSM2728759	GSM2728762	GSM2728764	GSM2728766	GSM2728765	GSM2728751	GSM2728753	GSM2728757	GSM2728761	GSM2728760	GSM2728755
1110064A23Rik	147.25	31.15625	199.5	160.125	166.0	119.6875	84.0625	153.75	121.25	144.25	135.875	148.5	134.625	145.25	122.4375	17.359375	121.375
1110065P20Rik	603.5	710.0	976.0	1136.0	1066.0	1119.0	309.5	604.5	1391.0	918.5	337.5	540.5	247.75	474.5	693.5	563.5	1163.0
1190002N15Rik	380.3776041666667	330.12890625	273.6666666666667	296.9453125	292.390625	350.6432291666667	366.2630208333333	371.5911458333333	263.0494791666667	464.0546875	388.2083333333333	573.31640625	416.8307291666667	339.8020833333333	288.953125	307.7942708333333	414.8567708333333
1190003K10Rik	18.96875	16.375	9.8515625	4.8359375	6.60546875	7.421875	5.078125	7.4375	14.453125	12.6171875	39.3125	6.00390625	5.3984375	7.72265625	11.1796875	79.0625	3.46484375
1190005I06Rik	7.6015625	33.875	8.7265625	14.703125	8.3984375	30.8125	3.380859375	3.880859375	6.6484375	14.6953125	5.76953125	6.51953125	1.6201171875	8.875	28.1875	11.921875	13.40625
1190007I07Rik	435.75	446.5	426.25	267.25	659.0	587.5	367.25	413.25	603.5	251.875	477.0	290.75	335.5	572.5	436.0	534.5	714.5
1200003I10Rik	12.8125	74.25	121.1875	65.25	19.53125	17.671875	17.4375	79.5625	5.82421875	100.8125	67.375	55.65625	41.78125	169.75	61.71875	65.75	11.1875
1200007C13Rik	25.109375	21.125	35.6875	34.71875	36.0	24.171875	24.0	25.921875	79.0	31.109375	28.421875	24.890625	26.6875	44.78125	26.296875	21.46875	25.546875
1300002E11Rik	280.5	258.5	335.0	264.0	322.5	227.0	236.25	273.0	269.5	278.75	281.75	247.5	228.75	308.5	225.875	149.5	250.25
1300014J16Rik	71.75	70.3125	100.9375	56.625	62.34375	60.25	61.78125	61.71875	32.625	37.5625	72.3125	51.21875	138.375	102.0	83.8125	99.0	81.625
1300017J02Rik	79.6875	56.15625	96.3125	115.0	110.5	61.3125	94.125	79.3125	139.875	121.1875	95.5625	101.1875	124.625	85.625	129.625	53.71875	44.625
130004C03	14.875	242.375	38.90625	57.28125	3.80859375	146.375	252.25	237.5	7.984375	154.625	461.0	389.5	3.1328125	338.5	204.375	240.875	173.25
1500002C15Rik	17.84375	6.96484375	6.24609375	60.0	112.125	26.96875	76.625	7.9765625	166.75	34.75	36.9375	9.671875	7.78515625	96.5625	45.65625	87.8125	68.875
1500002F19Rik	38.90625	62.921875	77.21875	28.8984375	32.78125	41.984375	50.6328125	50.046875	31.529296875	18.302734375	47.453125	41.921875	60.015625	102.71875	9.6796875	17.93359375	50.921875
1500002I01Rik	3.482421875	31.53125	3.40625	2.4921875	39.625	10.78125	2.2578125	4.5078125	6.13671875	11.0859375	17.015625	34.28125	1.3447265625	18.4375	6.7265625	3.40625	1.5634765625
1500002K03Rik	3.541015625	88.3125	9.0	75.625	92.75	23.546875	3.611328125	17.0	118.625	89.125	65.625	28.65625	56.46875	43.78125	77.375	73.625	46.5625
1500004A13Rik	160.55729166666666	140.703125	158.43229166666666	148.10677083333334	159.86458333333334	144.98372395833334	251.34895833333334	132.19140625	80.75651041666667	203.63541666666666	249.47395833333334	178.869140625	142.04557291666666	236.16666666666666	184.96875	184.69270833333334	137.89322916666666
1500004F05Rik	178.375	85.0625	39.78125	109.5	155.75	51.625	95.3125	186.0	167.375	23.953125	166.25	98.5	125.75	191.25	128.875	121.3125	126.25
