gene_symbol	GSM1342752	GSM1342755	GSM1342757	GSM1342747	GSM1342753	GSM1342750	GSM1342744	GSM1342748	GSM1342745	GSM1342749	GSM1342751	GSM1342758	GSM1342746	GSM1342754	GSM1342759	GSM1342756
1600025M17Rik	2.521484375	2.572265625	2.654296875	2.390625	2.462890625	2.478515625	2.427734375	2.5546875	2.375	2.568359375	2.669921875	2.259765625	2.4140625	2.37890625	2.48828125	2.67578125
1600029O15Rik	3.396484375	3.08203125	3.60546875	3.369140625	3.65625	3.572265625	3.73828125	3.689453125	3.705078125	3.603515625	3.5703125	3.74609375	3.544921875	3.33203125	4.03125	3.697265625
1700001C02Rik	3.4931640625	3.6962890625	3.3759765625	3.7734375	3.65234375	3.544921875	3.4140625	3.578125	3.5244140625	3.529296875	3.4638671875	3.390625	3.6005859375	3.66796875	3.37109375	3.5927734375
1700001C19Rik	7.224609375	7.470703125	7.19140625	7.275390625	7.146484375	7.353515625	6.640625	7.310546875	7.03125	7.130859375	7.3359375	7.119140625	7.052734375	7.365234375	7.298828125	7.0
1700001D01Rik	2.990234375	3.08203125	3.009765625	3.001953125	3.037109375	3.1640625	2.916015625	2.740234375	3.001953125	2.7890625	3.15234375	3.001953125	2.8046875	3.369140625	2.904296875	3.001953125
1700001G11Rik	5.1015625	5.16796875	5.42578125	5.23828125	5.43359375	5.01953125	5.05859375	5.234375	4.953125	5.109375	5.10546875	5.09765625	4.93359375	5.16796875	5.03125	5.375
1700001G17Rik	5.13671875	5.32421875	5.44140625	5.3984375	5.41796875	5.55859375	5.25390625	5.3671875	5.43359375	5.3046875	5.4296875	5.28125	5.21875	5.22265625	5.3046875	5.45703125
1700001K19Rik	4.5234375	4.79296875	4.8984375	5.140625	4.72265625	5.046875	4.765625	4.71875	4.8828125	4.83984375	5.05859375	4.76171875	4.77734375	4.94140625	4.83984375	4.54296875
1700001L05Rik	4.40625	4.28125	4.140625	4.80078125	4.375	4.65625	4.49609375	4.70703125	4.5	4.59765625	4.72265625	3.8984375	4.3984375	4.75	4.125	4.234375
1700001L19Rik	3.1171875	3.326171875	3.2421875	3.173828125	3.57421875	2.810546875	3.02734375	3.1640625	3.28125	2.986328125	3.021484375	3.18359375	2.96875	3.40234375	2.908203125	3.16796875
1700001O22Rik	5.23046875	5.5	5.31640625	5.3046875	5.484375	5.14453125	5.32421875	5.37890625	5.4296875	5.12890625	5.1875	5.38671875	5.2734375	5.3203125	5.26171875	5.4921875
1700001P01Rik	3.3642578125	3.4501953125	3.52734375	3.61328125	3.6572265625	3.6591796875	3.4091796875	3.400390625	3.4814453125	3.478515625	3.3828125	3.26171875	3.43359375	3.4189453125	3.306640625	3.4326171875
1700003D09Rik	3.3828125	3.408203125	3.685546875	3.69140625	4.00390625	3.92578125	3.640625	3.51171875	3.662109375	3.62109375	3.62109375	3.767578125	3.353515625	3.90625	3.7265625	3.751953125
1700003E16Rik	5.515625	5.859375	5.29296875	5.7109375	5.97265625	5.54296875	5.390625	5.3359375	5.49609375	5.14453125	5.51953125	5.10546875	5.78125	5.52734375	5.2890625	5.53515625
1700003E24Rik	1.97265625	2.263671875	2.244140625	2.0703125	2.404296875	2.060546875	1.9990234375	1.943359375	1.935546875	2.08984375	2.095703125	1.919921875	2.126953125	2.05859375	2.119140625	2.375
1700003F12Rik	3.8154296875	4.0830078125	4.013671875	4.087890625	4.1298828125	3.98046875	3.91015625	4.07421875	4.076171875	4.12890625	4.2041015625	3.888671875	4.0810546875	3.9990234375	3.9384765625	4.06640625
1700003G18Rik	3.341796875	2.87109375	3.146484375	3.2109375	3.4765625	3.337890625	3.37109375	3.205078125	3.1640625	3.19921875	3.205078125	3.484375	3.103515625	3.4140625	3.345703125	3.255859375
1700003H04Rik	3.2109375	3.2568359375	2.998046875	3.3115234375	3.35546875	3.0771484375	3.025390625	3.0537109375	3.271484375	3.125	3.150390625	3.0869140625	3.185546875	2.99609375	3.044921875	3.177734375
1700003I16Rik	4.796875	5.08984375	4.88671875	4.98046875	4.9453125	4.6796875	4.8203125	4.625	4.4921875	4.87109375	4.77734375	4.59765625	4.765625	4.71484375	4.6953125	4.98046875
1700003P14Rik	2.57421875	2.986328125	2.810546875	2.955078125	2.55859375	2.669921875	2.427734375	2.533203125	2.533203125	2.61328125	2.669921875	2.583984375	2.5859375	2.91796875	2.630859375	2.642578125
1700006A11Rik	2.1796875	2.501953125	2.501953125	2.546875	2.25390625	2.4375	2.392578125	2.41796875	2.4296875	2.591796875	2.3828125	2.43359375	2.484375	2.248046875	2.474609375	2.4921875
1700006E09Rik	2.36328125	2.482421875	2.6953125	2.572265625	2.4609375	2.640625	2.4765625	2.451171875	2.390625	2.513671875	2.501953125	2.201171875	2.814453125	2.544921875	2.482421875	2.423828125
1700006F04Rik	1.923828125	1.92578125	2.244140625	2.34765625	2.435546875	2.05078125	1.98828125	2.017578125	1.9326171875	2.046875	1.953125	1.9765625	1.9951171875	2.076171875	2.05859375	2.169921875
1700006J14Rik	2.669921875	3.501953125	3.017578125	3.1796875	3.21484375	3.115234375	2.98046875	2.853515625	3.02734375	3.09375	3.060546875	3.013671875	2.828125	2.908203125	2.880859375	3.103515625
1700007B14Rik	2.845703125	2.6640625	2.904296875	2.68359375	3.00390625	2.810546875	2.474609375	2.71875	2.796875	2.634765625	2.775390625	3.078125	2.765625	2.859375	2.728515625	2.798828125
