	GSM4795609	GSM4795610	GSM4795611	GSM4795612	GSM4795613	GSM4795614
ADM2	3	1	3	4	4	5
ADM5	18	17	13	16	12	11
ADNP	6180	3724	5207	4463	3951	4561
ADNP-AS1	43	26	38	32	33	35
ADNP2	2370	1595	2042	1613	1410	1519
ADO	1178	725	1007	777	615	810
ADORA1	571	404	544	498	358	500
ADORA2A	119	74	137	99	77	107
ADORA2A-AS1	63	22	69	63	60	41
ADORA2B	194	129	167	94	142	134
ADORA2BP1	0	0	0	0	0	0
ADORA3	3	1	0	0	4	0
ADPGK	1876	1331	1617	1343	1198	1478
ADPGK-AS1	7	5	6	4	3	9
ADPRH	73	43	61	32	51	41
ADPRHL1	103	81	96	74	67	81
ADPRM	225	131	207	99	95	90
ADPRS	725	448	634	456	352	469
ADRA1A	1	2	5	1	4	2
ADRA1B	25	5	13	19	13	12
ADRA1D	0	0	0	0	2	1
ADRA2A	2	1	4	5	4	6
ADRA2B	1	7	8	4	3	1
ADRA2C	33	16	23	32	23	30
ADRB1	89	57	73	46	53	55
ADRB2	1218	925	1078	808	839	831
ADRB3	2	0	0	2	1	0
ADRM1	6865	4620	6475	5003	4006	5375
ADSL	3007	2009	2537	2014	1761	2178
ADSS1	39	25	41	25	21	30
ADSS2	2830	1907	2423	1802	1860	2173
ADTRP	204	158	194	113	103	103
AEBP1	22	11	12	12	20	15
AEBP2	2455	1685	1999	1663	1673	1689
AEN	1549	1056	1451	1099	1020	1168
AFAP1	2353	1601	2154	1785	1555	1822
AFAP1-AS1	18	14	40	28	20	18
AFAP1L1	898	620	853	758	599	681
AFAP1L2	1583	931	1299	1336	947	1263
AFDN	5439	3628	4622	3924	3804	4021
AFDN-DT	13	12	14	15	18	20
AFF1	6493	4226	5531	4978	4487	4956
AFF2	2	5	2	2	2	2
AFF2-IT1	0	0	0	0	0	0
AFF3	822	578	752	536	550	514
AFF4	7946	5337	6618	5220	4937	5164
AFF4-DT	0	2	1	0	5	0
AFG1L	152	109	174	116	113	87
AFG3L1P	1117	701	950	815	690	813
AFG3L2	1961	1142	1663	1314	1123	1396
AFG3L2P1	0	0	0	0	0	0
AFM	2	0	0	0	0	0
